Serial Number,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Title,Edition,Frequency,Place of Publication,Publisher,Year,Series Title,Physical Description,Notes,International Standard Book Number,International Standard Serial Number,Price,Reference Number
3040,Ahsay Backup Software Development Company Limited,,,,,,,,,,Ahsay Backup Software Development Company Limited annual report 2016 = 亞勢備份軟件開發有限公司年報2016.,,,Hong Kong,Ahsay Backup Software Development Company Limited,2017,,"106, 106 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03493
3041,AL Group Limited,,,,,,,,,,AL Group Limited annual report 2016 = 利駿集團(香港)有限公司年度報告2016.,,,Hong Kong,AL Group Limited,2017,,"108, 108 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03383
3042,AL Group Limited,,,,,,,,,,AL Group Limited first quarterly report 2017 = 利駿集團(香港)有限公司第一季度報告2017.,,,Hong Kong,AL Group Limited,2017,,"22, 22 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05044
3043,"Alexandre, Fred",,,,,,,,,,Brei.ke.wei : SynapxCardz for the discreet collection booklet + Ke'sil-Cog scoresheet / Fred Alexandre.,J Skill 1,,Hong Kong,Maeandere SynapxCardz Limited,2017,,35 p. : col. ill. ; 21 cm. + spark word deckcards,,"978-988-78042-0-8 (pbk.), 978-988-78042-1-5 (set)",,Unpriced; $496.00,2017-03576
3044,Allied Group Limited,,,,,,,,,,Allied Group Limited annual report 2016 = 聯合集團有限公司二零一六年年報.,,,Hong Kong,Allied Group Limited,2017,,292 p. : col. charts ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-03953
3045,Allied Properties (H.K.) Limited,,,,,,,,,,Allied Properties (H.K.) Limited annual report 2016 = 聯合地產(香港)有限公司2016年報.,,,Hong Kong,Allied Properties (H.K.) Limited,2017,,296 p. : col. charts ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-03863
3046,Alltronics Holdings Limited,,,,,,,,,,Alltronics Holdings Limited annual report 2016 = 華訊股份有限公司年報2016.,,,Hong Kong,Alltronics Holdings Limited,2017,,"126, 126 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05490
3047,"Lynch, Katherine","Mak, Kwan Lun Ida",,,,,,,,,"ALTERNATIVE dispute resolution : Hong Kong and international perspectives : special collection of HKU Faculty of Law student essays / edited by Katherine Lynch, Ida Kwan Lun Mak.",,,Hong Kong,"Lynch, Katherine Louise",2016,,"iii, 287 p. : ill. ; 23 cm.",Includes bibliographical references,978-988-77851-0-1 (pbk.),,Unpriced,2017-04477
3048,Altus Holdings Limited,,,,,,,,,,Altus Holdings Limited third quarterly report FY2017 = 浩德控股有限公司2017財政年度第三季度報告.,,,Hong Kong,Altus Holdings Limited,2017,,"26, 26 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03554
3049,"Mak, Andrew","Low, Sue Yeung",,,,,,,,,ANNOTATED ordinances of Hong Kong : Buildings Ordinance (Cap 123) = 建築物條例(第123章) / annotated by Andrew Mak ; legal edited by Low Sue Yeung.,2017 reissue,,Hong Kong,LexisNexis,2017,,"lxxxvii, 1039 p. ; 25 cm.",Glossary,978-988-8389-09-4 (pbk.),,$3295.00 (set),2017-03358
3050,"Tyler, E. L. G.","Lo, Stefan H. C.","Low, Sue Yeung",,,,,,,,"ANNOTATED ordinances of Hong Kong : Companies (Winding Up and Miscellaneous Provisions) Ordinance (Cap 32) = 公司(清盤及雜項條文)條例(第32章) / annotated by ELG Tyler, Stefan H.C. Lo ; legal edited by Low Sue Yeung.",2017 reissue,,Hong Kong,LexisNexis,2017,,"cxxx, 1035 p. ; 24 cm.",Glossary,978-988-8389-21-6 (pbk.),,$3295.00 (set),2017-04705
3051,APAC Resources Limited,,,,,,,,,,APAC Resources Limited interim report 2016 = 亞太資源有限公司中期報告2016.,,,Hong Kong,APAC Resources Limited,2017,,"52, 52 p. : col. ill. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03137
3052,"Bokhary, N. P. J.",,,,,,,,,,"ARCHBOLD Hong Kong 2017 : criminal law, pleadings, evidence and practice / edited by Bokhary NPJ.",,,Hong Kong,Thomson Reuters Hong Kong Limited,2016,,"cclxxxix, 2654 p. ; 26 cm.",Includes index,978-962-661-905-6,,$9510.00,2017-03067
3053,"Zhou, Dong","Du, Zhenyu",,,,,,,,,"ARCHITECTURAL design and art design. Results of 2016 International Conference on Architectural Design and Art Design (ADAD2016), held December 30, 2016 in Nanjing, China / edited by Dong Zhou, Zhenyu Du.",2016.12,,Hong Kong,"China Scientific Research Publishing Co., Limited",2016,,"iv, 2, 86 p. : ill. ; 25 cm.",Includes bibliographical references,978-988-77122-9-9,,Unpriced,2017-04976
3054,Art Group Holdings Limited,,,,,,,,,,Art Group Holdings Limited interim report 2016 = 錦藝集團控股有限公司中期報告2016.,,,Hong Kong,Art Group Holdings Limited,2017,,"40, 40 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03533
3055,Artini China Company Limited,,,,,,,,,,"Artini China Company Limited proposed change of company name and notice of special general meeting, 10 February 2017 = 雅天妮中國有限公司建議更改公司名稱及股東特別大會通告, 二零一七年二月十日.",,,Hong Kong,Artini China Company Limited,2017,,"i, 7, i, 7 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06082
3056,Arts Optical International Holdings Limited,,,,,,,,,,Arts Optical International Holdings Limited annual report 2016 = 雅視光學集團有限公司年報2016.,,,Hong Kong,Arts Optical International Holdings Limited,2017,,"118, 118 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-04327
3057,Asia Cement (China) Holdings Corporation,,,,,,,,,,Asia Cement (China) Holdings Corporation annual report 2016 = 亞洲水泥(中國)控股公司2016年報.,,,Hong Kong,Asia Cement (China) Holdings Corporation,2017,,"124, 124 p. : col. ill. ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03866
3058,Asia Investment Finance Group Limited,,,,,,,,,,Asia Investment Finance Group Limited annual report 2016 = 亞投金融集團有限公司年報2016.,,,Hong Kong,Asia Investment Finance Group Limited,2017,,"120, 120 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05465
3059,"Alexander, Martin",,,,,,,,,,ASIA literary review. No. 32 / edited by Martin Alexander.,Winter 2016,,Hong Kong,Greater Talent Limited,2016,,"207 p. : ill., port ; 24 cm.",,"978-988-14782-7-6 (pbk.), 978-988-14782-8-3 (e-book)",,$150.00; Unpriced,2017-03366
3060,"Yee, Shin Jiun",,,,,,,,,,ATKIN'S court forms Hong Kong. Issue 53 / legal edited by Yee Shin Jiun.,,,Hong Kong,LexisNexis,2017,,various paging ; 25 cm.,,978-988-8389-12-4 (loose-leaf),,$2195.00,2017-04714
3061,Aurum Pacific (China) Group Limited,,,,,,,,,,Aurum Pacific (China) Group Limited annual report 2016 = 奧栢中國集團有限公司2016年報.,,,Hong Kong,Aurum Pacific (China) Group Limited,2017,,200 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-03491
3062,Aurum Pacific (China) Group Limited,,,,,,,,,,Aurum Pacific (China) Group Limited first quarterly report 2017 = 奧栢中國集團有限公司2017第一季度業績報告.,,,Hong Kong,Aurum Pacific (China) Group Limited,2017,,24 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-06032
3063,"Ali, Abdul Azeem",,,,,,,,,,AUTHORISED Hong Kong law reports & digest 2016. Vol. 3 / edited by Abdul Azeem Ali.,,,Hong Kong,Thomson Reuters Hong Kong Limited,2016,,"lvi, 969 p. ; 25 cm.",Text partially in Chinese,978-962-661-908-7,,Unpriced,2017-03068
3064,"Ali, Abdul Azeem",,,,,,,,,,AUTHORISED Hong Kong law reports & digest 2016. Vol. 4 / edited by Abdul Azeem Ali.,,,Hong Kong,Thomson Reuters Hong Kong Limited,2016,,"lv, 858 p. ; 25 cm.",Text partially in Chinese,978-962-661-909-4,,Unpriced,2017-03069
3065,"Ali, Abdul Azeem",,,,,,,,,,AUTHORISED Hong Kong law reports & digest 2016. Vol. 5 / edited by Abdul Azeem Ali.,,,Hong Kong,Thomson Reuters Hong Kong Limited,2017,,"lx, 805 p. ; 25 cm.",Text partially in Chinese,978-962-661-910-0,,Unpriced,2017-03070
3066,Automated Systems Holdings Limited,,,,,,,,,,Automated Systems Holdings Limited annual report 2016 = 自動系統集團有限公司2016年報.,,,Hong Kong,Automated Systems Holdings Limited,2017,,184 p. : col. ill. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-03526
3067,AVIC Joy Holdings (HK) Limited,,,,,,,,,,AVIC Joy Holdings (HK) Limited 2016 annual report = 幸福控股(香港)有限公司2016年報.,,,Hong Kong,AVIC Joy Holdings (HK) Limited,2017,,"188, 188 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05517
3068,Bamboos Health Care Holdings Limited,,,,,,,,,,Bamboos Health Care Holdings Limited interim report 2016/2017 = 百本醫護控股有限公司2016/2017中期報告.,,,Hong Kong,Bamboos Health Care Holdings Limited,2017,,"32, 32 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06016
3069,Bank of China (Hong Kong) Limited,,,,,,,,,,Bank of China (Hong Kong) Limited 2016 annual report = 中國銀行(香港)有限公司2016年報.,,,Hong Kong,Bank of China (Hong Kong) Limited,2017,,335 p. : charts ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-04601
3070,Bank of China Limited,,,,,,,,,,Bank of China Limited 2016 annual report.,,,Hong Kong,Bank of China Limited,2017,,"303 p. : col. map, col. charts, col. port ; 29 cm.",,,,Unpriced (pbk.),2017-05019
3071,"Bank of Chongqing Co., Ltd.",,,,,,,,,,"Bank of Chongqing Co., Ltd. 2016 annual report = 重慶銀行股份有限公司二零一六年年度報告.",,,Hong Kong,"Bank of Chongqing Co., Ltd.",2017,,"244, 244 p. : col. ill. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05035
3072,Baoye Group Company Limited,,,,,,,,,,Baoye Group Company Limited annual report 2016 = 寶業集團股份有限公司2016年報.,,,Hong Kong,Baoye Group Company Limited,2017,,"144, 144 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06181
3073,Bar Pacific Group Holdings Limited,,,,,,,,,,Bar Pacific Group Holdings Limited third quarterly report 2016 = 太平洋酒吧集團控股有限公司第三季度業績報告2016.,,,Hong Kong,Bar Pacific Group Holdings Limited,2017,,"16, 16 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03515
3074,BaWang International (Group) Holding Limited,,,,,,,,,,BaWang International (Group) Holding Limited annual report 2016 = 霸王國際(集團)控股有限公司2016年年報.,,,Hong Kong,BaWang International (Group) Holding Limited,2017,,"176 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05027
3075,"Bazarwala, Humza",,,,,,,,,,The ant & the Hud Hud / Humza Bazarwala.,,,Hong Kong,Ordinary Muslim Productions,2017,,unpaged : col. ill. ; 19 x 23 cm.,,978-988-78033-0-0,,$100.00,2017-04961
3076,Beautiful China Holdings Company Limited,,,,,,,,,,Beautiful China Holdings Company Limited annual report 2016 = 美麗中國控股有限公司年報2016.,,,Hong Kong,Beautiful China Holdings Company Limited,2017,,"132, 132 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05112
3077,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",,,,,,,,,,"Beijing Chunlizhengda Medical Instruments Co., Ltd. annual report 2016 = 北京市春立正達醫療器械股份有限公司年報2016.",,,Hong Kong,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",2017,,"120, 120 p. : col. ill. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-04446
3078,Beijing Enterprises Environment Group Limited,,,,,,,,,,Beijing Enterprises Environment Group Limited annual report 2016 = 北京控股環境集團有限公司年報2016.,,,Hong Kong,Beijing Enterprises Environment Group Limited,2017,,"128, 128 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05487
3079,Beijing Enterprises Holdings Limited,,,,,,,,,,Beijing Enterprises Holdings Limited 2016 annual report.,,,Hong Kong,Beijing Enterprises Holdings Limited,2017,,"196 p. : col. ill., col. charts ; 29 cm.",,,,Unpriced (pbk.),2017-05079
3080,Beijing Enterprises Medical and Health Industry Group Limited,,,,,,,,,,Beijing Enterprises Medical and Health Industry Group Limited annual report 2016 = 北控醫療健康產業集團有限公司2016年報.,,,Hong Kong,Beijing Enterprises Medical and Health Industry Group Limited,2017,,208 p. : col. ill. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-06115
3081,Beijing Enterprises Water Group Limited,,,,,,,,,,Beijing Enterprises Water Group Limited 2016 annual report.,,,Hong Kong,Beijing Enterprises Water Group Limited,2017,,"224 p. : col. ill., col. charts ; 29 cm.",,,,Unpriced (pbk.),2017-05078
3082,Beijing North Star Company Limited,,,,,,,,,,Beijing North Star Company Limited 2016 annual report = 北京北辰實業股份有限公司2016年度報告.,,,Hong Kong,Beijing North Star Company Limited,2017,,"164, 164 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06185
3083,Beijing Properties (Holdings) Limited,,,,,,,,,,Beijing Properties (Holdings) Limited 2016 annual report = 北京建設(控股)有限公司2016年報.,,,Hong Kong,Beijing Properties (Holdings) Limited,2017,,"170, 170 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06057
3084,Beijing Sports and Entertainment Industry Group Limited,,,,,,,,,,Beijing Sports and Entertainment Industry Group Limited annual report 2016 = 北京體育文化產業集團有限公司2016年報.,,,Hong Kong,Beijing Sports and Entertainment Industry Group Limited,2017,,172 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-05461
3085,BeijingWest Industries International Limited,,,,,,,,,,BeijingWest Industries International Limited annual report 2016 = 京西重工國際有限公司年報2016.,,,Hong Kong,BeijingWest Industries International Limited,2016,,"162, 162 p. : col. ill. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-05476
3086,Best Pacific International Holdings Limited,,,,,,,,,,Best Pacific International Holdings Limited annual report 2016 = 超盈國際控股有限公司年報2016.,,,Hong Kong,Best Pacific International Holdings Limited,2017,,220 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-04451
3087,"Bickley, Gillian","Bickley, Verner",,,,,,,,,Over the years : selected collected poems 1972-2015 / Gillian Bickley ; chosen by Verner Bickley.,,,Hong Kong,Proverse Hong Kong,2017,,120 p. ; 22 cm.,,978-988-8228-75-1 (pbk.),,$120.00,2017-04474
3088,Biosino Bio-Technology and Science Incorporation,,,,,,,,,,Biosino Bio-Technology and Science Incorporation 2016 annual report = 中生北控生物科技股份有限公司2016年報.,,,Hong Kong,Biosino Bio-Technology and Science Incorporation,2017,,"134, 134 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-04282
3089,Biosino Bio-Technology and Science Incorporation,,,,,,,,,,Biosino Bio-Technology and Science Incorporation 2017 first quarterly report = 中生北控生物科技股份有限公司2017第一季度業績報告.,,,Hong Kong,Biosino Bio-Technology and Science Incorporation,2017,,"16, 16 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06008
3090,Biostime International Holdings Limited,,,,,,,,,,Biostime International Holdings Limited annual report 2016 = 合生元國際控股有限公司2016年報.,,,Hong Kong,Biostime International Holdings Limited,2017,,"200, 200 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-04013
3091,Birmingham International Holdings Limited,,,,,,,,,,Birmingham International Holdings Limited interim report 2017 = 伯明翰環球控股有限公司中期報告2017.,,,Hong Kong,Birmingham International Holdings Limited,2017,,48 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-04251
3092,"Bliss, Harper",,,,,,,,,,Beneath the surface / Harper Bliss.,,,Hong Kong,Ladylit Publishing,2017,,222 p. ; 21 cm.,,978-988-14910-4-6 (pbk.),,$120.00,2017-04469
3093,BOC Aviation Limited,,,,,,,,,,BOC Aviation Limited annual report 2016.,,,Hong Kong,BOC Aviation Limited,2017,,"71, ii, 92 p. : col. charts ; 29 cm.",,,,Unpriced (pbk.),2017-04299
3094,BOC Aviation Limited,,,,,,,,,,"BOC Aviation Limited notice of annual general meeting and proposals for re-election of directors, general mandates to repurchase and to issue shares, and aircraft purchase mandate, 26 April 2017 = 中銀航空租賃有限公司股東週年大會通告及建議重選董事 購回及發行股份的一般授權及飛機購買授權, 二零一七年四月二十六日.",,,Hong Kong,BOC Aviation Limited,2017,,"i, 30, i, 30 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-04599
3095,BOC Hong Kong (Holdings) Limited,,,,,,,,,,BOC Hong Kong (Holdings) Limited annual report 2016.,,,Hong Kong,BOC Hong Kong (Holdings) Limited,2017,,"316 p. : col. ill., col. charts ; 29 cm.",,,,Unpriced (pbk.),2017-04602
3096,BOC Hong Kong (Holdings) Limited,,,,,,,,,,"BOC Hong Kong (Holdings) Limited notice of annual general meeting, proposed re-election of retiring directors and remuneration of directors, and proposed general mandates to issue and buy back shares, 20 April 2017 = 中銀香港(控股)有限公司股東週年大會通告 重選退任董事及釐定董事酬金的建議及發行及回購股份一般授權的建議, 2017年4月20日.",,,Hong Kong,BOC Hong Kong (Holdings) Limited,2017,,"i, 16, i, 16 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-04600
3097,Bonjour Holdings Limited,,,,,,,,,,Bonjour Holdings Limited 2016 annual report = 卓悅控股有限公司2016年報.,,,Hong Kong,Bonjour Holdings Limited,2017,,152 p. : col. ill. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-06122
3098,Bonjour Holdings Limited,,,,,,,,,,"Bonjour Holdings Limited general mandates to repurchase and issue shares, extension of general mandate to issue shares, re-election of retiring directors, and notice of annual general meeting, 24 April 2017 = 卓悅控股有限公司購回及發行股份之一般授權 擴大發行股份之一般授權 重選退任董事及股東週年大會通告, 二零一七年四月二十四日.",,,Hong Kong,Bonjour Holdings Limited,2017,,"15, 15 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06092
3099,Brockman Mining Limited,,,,,,,,,,Brockman Mining Limited interim report 2016/17 = 布萊克萬礦業有限公司中期報告2016/17.,,,Hong Kong,Brockman Mining Limited,2017,,"41, 41 p. ; 21 cm.","Glossary, Text in Chinese and English",,,Unpriced (pbk.),2017-03532
3100,Build King Holdings Limited,,,,,,,,,,Build King Holdings Limited annual report 2016.,,,Hong Kong,Build King Holdings Limited,2017,,"132 p. : col. ill., col. charts ; 29 cm.",,,,Unpriced (pbk.),2017-03521
